threshold,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,predicted_fraud_count,false_positive_cost,false_negative_cost,business_cost
0.28,0.04983388704318937,0.9183673469387755,0.09453781512605043,55148,1716,8,90,1806,1.0,20.0,1876.0
0.29000000000000004,0.05084745762711865,0.9183673469387755,0.09635974304068524,55184,1680,8,90,1770,1.0,20.0,1840.0
0.3,0.05187319884726225,0.9183673469387755,0.09819967266775777,55219,1645,8,90,1735,1.0,20.0,1805.0
0.31,0.05306603773584906,0.9183673469387755,0.10033444816053512,55258,1606,8,90,1696,1.0,20.0,1766.0
0.32,0.0539568345323741,0.9183673469387755,0.10192525481313702,55286,1578,8,90,1668,1.0,20.0,1738.0
0.33,0.05511328842620943,0.9183673469387755,0.10398613518197573,55321,1543,8,90,1633,1.0,20.0,1703.0
0.34,0.056532663316582916,0.9183673469387755,0.10650887573964497,55362,1502,8,90,1592,1.0,20.0,1662.0
0.35000000000000003,0.05791505791505792,0.9183673469387755,0.10895883777239711,55400,1464,8,90,1554,1.0,20.0,1624.0
0.36000000000000004,0.05924950625411455,0.9183673469387755,0.11131725417439703,55435,1429,8,90,1519,1.0,20.0,1589.0
0.37,0.060851926977687626,0.9183673469387755,0.11414077362079898,55475,1389,8,90,1479,1.0,20.0,1549.0
0.38,0.061855670103092786,0.9183673469387755,0.1159047005795235,55499,1365,8,90,1455,1.0,20.0,1525.0
0.39,0.06284916201117319,0.9183673469387755,0.11764705882352942,55522,1342,8,90,1432,1.0,20.0,1502.0
0.4,0.0641025641025641,0.9183673469387755,0.11984021304926763,55550,1314,8,90,1404,1.0,20.0,1474.0
0.41000000000000003,0.06554989075018208,0.9183673469387755,0.12236573759347384,55581,1283,8,90,1373,1.0,20.0,1443.0
0.42000000000000004,0.06706408345752608,0.9183673469387755,0.125,55612,1252,8,90,1342,1.0,20.0,1412.0
0.43,0.06854531607006854,0.9183673469387755,0.12756909992912827,55641,1223,8,90,1313,1.0,20.0,1383.0
0.44,0.06939090208172706,0.9183673469387755,0.12903225806451613,55657,1207,8,90,1297,1.0,20.0,1367.0
0.45,0.07075471698113207,0.9183673469387755,0.1313868613138686,55682,1182,8,90,1272,1.0,20.0,1342.0
0.46,0.07217321571772253,0.9183673469387755,0.13382899628252787,55707,1157,8,90,1247,1.0,20.0,1317.0
0.47000000000000003,0.07364975450081833,0.9183673469387755,0.13636363636363635,55732,1132,8,90,1222,1.0,20.0,1292.0
0.48000000000000004,0.07525083612040134,0.9183673469387755,0.13910355486862444,55758,1106,8,90,1196,1.0,20.0,1266.0
0.49,0.07620660457239628,0.9183673469387755,0.14073494917904614,55773,1091,8,90,1181,1.0,20.0,1251.0
0.5,0.07738607050730868,0.9183673469387755,0.14274385408406026,55791,1073,8,90,1163,1.0,20.0,1233.0
0.51,0.07936507936507936,0.9183673469387755,0.1461038961038961,55820,1044,8,90,1134,1.0,20.0,1204.0
0.52,0.0806159420289855,0.9081632653061225,0.1480865224625624,55849,1015,9,89,1104,1.0,20.0,1195.0
0.53,0.08172635445362718,0.9081632653061225,0.14995787700084245,55864,1000,9,89,1089,1.0,20.0,1180.0
0.54,0.08309990662931839,0.9081632653061225,0.1522668947818648,55882,982,9,89,1071,1.0,20.0,1162.0
0.55,0.08420056764427625,0.9081632653061225,0.1541125541125541,55896,968,9,89,1057,1.0,20.0,1148.0
0.56,0.086073500967118,0.9081632653061225,0.15724381625441697,55919,945,9,89,1034,1.0,20.0,1125.0
0.5700000000000001,0.08742632612966601,0.9081632653061225,0.15949820788530464,55935,929,9,89,1018,1.0,20.0,1109.0
0.5800000000000001,0.089,0.9081632653061225,0.1621129326047359,55953,911,9,89,1000,1.0,20.0,1091.0
0.59,0.09100204498977506,0.9081632653061225,0.16542750929368033,55975,889,9,89,978,1.0,20.0,1069.0
